Rank, name, size
1, med-bio, 506
2, parl-desktop-world, 383
3, multimedia-devel, 198
4, sagemath, 169
5, tesseract-ocr-all, 162
6, med-bio-dev, 158
7, forensics-extra, 157
8, med-cloud, 145
9, science-statistics, 142
10, php-horde-core, 141
11, games-arcade, 140
12, libdpdk-dev, 134
13, plasma-desktop, 133
14, science-mathematics-dev, 132
15, libmono-cil-dev, 132
16, plasma-workspace, 131
17, parl-desktop-eu, 125
18, forensics-all, 113
19, request-tracker4, 108
20, games-finest, 106
21, tryton-modules-all, 106
22, collectd, 101
23, vlc-plugin-base, 101
24, science-mathematics, 98
25, freedombox, 94
26, multimedia-puredata, 93
27, gis-devel, 92
28, firefox-esr-l10n-all, 92
29, kmail, 92
30, php-horde, 89
31, php-horde-imp, 85
32, cinnamon, 84
33, games-puzzle, 84
34, kdepim-addons, 83
35, php-horde-kronolith, 81
36, python3-nova, 80
37, multimedia-video, 79
38, gnuradio, 79
39, npm, 79
40, libefl-all-dev, 77
41, kdevelop, 76
42, texlive-full, 75
43, kwin-common, 74
44, libguestfs0, 74
45, live-task-localisation-desktop, 73
46, mrpt-apps, 73
47, gnome-control-center, 72
48, gnome-shell, 72
49, php-symfony, 71
50, python3-cinder, 70
51, gstreamer1.0-plugins-bad, 70
52, libotb-dev, 70
53, cinnamon-desktop-environment, 69
54, diffoscope, 69
55, gambas3, 69
56, live-task-kde, 69
57, gnome-core, 68
58, python3-heat, 67
59, kodi-bin, 67
60, php-horde-turba, 67
61, librust-cargo-dev, 67
62, multimedia-audio-plugins, 66
63, libmojomojo-perl, 66
64, python3-mistral, 66
65, sympa, 66
66, astro-python3, 65
67, gis-workstation, 65
68, science-numericalcomputation, 65
69, kdenlive, 65
70, mpd, 64
71, mplayer-gui, 64
72, libmrpt-hwdrivers1.5, 64
73, chromium, 63
74, ledgersmb, 63
75, live-task-localisation, 63
76, movim, 63
77, libabiword-3.0, 62
78, games-board, 62
79, parl-desktop, 62
80, kdepim-runtime, 62
81, kmymoney, 62
82, libghc-taffybar-dev, 62
83, kde-runtime, 61
84, korganizer, 61
85, python3-neutron, 61
86, libotb-apps, 61
87, python3-django-horizon, 60
88, libreoffice-core, 60
89, libmrpt-hmtslam1.5, 60
90, php-horde-nag, 60
91, ros-core-dev, 60
92, rviz, 60
93, digikam-private-libs, 59
94, libfreecad-python2-0.18, 59
95, libfreecad-python3-0.18, 59
96, gazebo9, 59
97, mplayer, 59
98, libmrpt-detectors1.5, 59
99, libmrpt-graphslam1.5, 59
100, php-horde-ansel, 59
101, calligra-libs, 58
102, education-common, 58
103, education-main-server, 58
104, gnome-builder, 58
105, ikiwiki-hosting-web, 58
106, libghc-pandoc-dev, 58
107, puppetdb, 58
108, chromium-shell, 57
109, dpdk-dev, 57
110, empathy, 57
111, libmrpt-slam1.5, 57
112, os-autoinst, 57
113, librviz3d, 57
114, libwine, 57
115, libwine-development, 57
116, xorg-dev, 57
117, gazebo9-plugin-base, 56
118, libgazebo9, 56
119, libghc-gitit-dev, 56
120, python3-ironic, 56
121, kalarm, 56
122, lxqt, 56
123, libmrpt-nav1.5, 56
124, octave, 56
125, plaso, 56
126, thunderbird-l10n-all, 56
127, ciderwebmail, 55
128, pinto, 55
129, tellico, 55
130, audacious-plugins, 54
131, med-imaging, 54
132, med-imaging-dev, 54
133, science-chemistry, 54
134, inkscape, 54
135, libkf5messageviewer5abi1, 54
136, liquidsoap, 54
137, libmrpt-maps1.5, 54
138, cacti, 53
139, python3-glance, 53
140, gthumb, 53
141, knotes, 53
142, lava-dev, 53
143, libmrpt-topography1.5, 53
144, blender, 52
145, htcondor, 52
146, krita, 52
147, libkf5mailcommon5abi2, 52
148, mpv, 52
149, libmrpt-vision1.5, 52
150, libghc-pandoc-prof, 52
151, python-qgis, 52
152, skrooge, 52
153, tagua, 52
154, libwebkit2gtk-4.0-37, 52
155, games-strategy, 51
156, multimedia-jack, 51
157, devscripts, 51
158, gnumed-client, 51
159, gtkpod, 51
160, python3-magnum, 51
161, libmpv1, 51
162, libmrpt-graphs1.5, 51
163, libmrpt-gui1.5, 51
164, libmrpt-kinematics1.5, 51
165, libmrpt-obs1.5, 51
166, python3-murano, 51
167, libqt5webenginecore5, 51
168, libvisp-mbt3.1, 51
169, debian-edu-config, 50
170, science-geography, 50
171, gdm3, 50
172, gimp, 50
173, grass-core, 50
174, libcatalyst-perl, 50
175, libmrpt-opengl1.5, 50
176, libmutter-3-0, 50
177, jami, 50
178, libopencv-apps1d, 50
179, ros-opencv-apps, 50
180, texlive-binaries, 50
181, choqok, 49
