# Transitive Dependencies
Rank, name, size
1, lubuntu-qt-desktop, 1637
2, ros-desktop-full-dev, 1287
3, lubuntu-desktop, 1275
4, kde-full, 1274
5, lubuntu-gtk-desktop, 1274
6, gnome, 1212
7, forensics-full, 1172
8, kde-standard, 1086
9, ros-perception-dev, 1081
10, vanilla-gnome-desktop, 1046
11, ros-simulators-dev, 1041
12, cinnamon-desktop-environment, 952
13, kubuntu-desktop, 934
14, ubuntu-unity-desktop, 922
15, ubuntukylin-desktop, 918
16, edubuntu-desktop, 898
17, gnome-core, 886
18, ubuntu-gnome-desktop, 883
19, ubuntu-desktop, 882
20, ubuntu-budgie-desktop, 873
21, ubuntu-mate-desktop, 854
22, ubuntu-mate-core, 853
23, kubuntu-full, 842
24, libkf5mailcommon-dev, 819
25, libkf5messagecomposer-dev, 819
26, mythplugins, 799
27, libkf5incidenceeditor-dev, 792
28, libpcl-conversions-dev, 787
29, libgazebo9-dev, 786
30, libkf5eventviews-dev, 786
31, libkf5ksieve-dev, 786
32, libkf5calendarsupport-dev, 781
33, lxqt, 781
34, libkf5kaddressbookgrantlee-dev, 775
35, libpcl-dev, 775
36, libkf5pimcommon-dev, 766
37, libkf5akonadicalendar-dev, 759
38, libkpimimportwizard-dev, 752
39, libkf5alarmcalendar-dev, 743
40, libkf5akonadisearch-dev, 741
41, kde-plasma-desktop, 738
42, libkf5akonadicontact-dev, 738
43, ros-desktop-full-python-dev, 738
44, libkpimgapi-dev, 737
45, libkf5tnef-dev, 727
46, libotb-dev, 727
47, libkf5calendarutils-dev, 722
48, ros-desktop-full, 722
49, mythweather, 719
50, libkf5blog-dev, 717
51, latte-dock, 712
52, libkf5calendarcore-dev, 710
53, plasma-workspace-dev, 710
54, kde-config-touchpad, 698
55, kde-touchpad, 698
56, plasma-desktop-dev, 698
57, plasma-desktop, 697
58, libkf5kaddressbookimportexport-dev, 697
59, libcamitk-dev, 696
60, libktp-dev, 694
61, libkf5mailimporter-dev, 693
62, mythtv, 693
63, libkf5libkdepim-dev, 689
64, mytharchive, 683
65, mythtv-backend-master, 681
66, libkf5kdepimdbusinterfaces-dev, 680
67, libkf5mailtransport-dev, 679
68, kdesdk, 677
69, libkf5akonadimime-dev, 671
70, libkf5akonadinotes-dev, 671
71, libkf5followupreminder-dev, 669
72, libkf5sendlater-dev, 669
73, kinfocenter, 668
74, libkf5akonadi-dev, 665
75, sagemath-jupyter, 665
76, forensics-extra-gui, 663
77, mythtv-dbg, 661
78, plasma-widgets-addons, 660
79, plasma-workspace-wayland, 660
80, mythimport, 658
81, libkido-gui-osg-dev, 656
82, kdemultimedia, 654
83, mythnetvision, 654
84, mythbrowser, 652
85, mythgallery, 652
86, mythgame, 652
87, mythmusic, 652
88, mythnews, 652
89, mythzoneminder, 652
90, libcnoid-dev, 651
91, mythtv-frontend, 651
92, libkf5holidays-dev, 650
93, libkf5kontactinterface-dev, 650
94, digikam, 649
95, sagetex, 649
96, mythtv-backend, 648
97, kipi-plugins, 647
98, libkf5kdelibs4support-dev, 647
99, ubuntustudio-desktop, 647
100, kdenetwork, 645
101, showfoto, 645
102, digikam-private-libs, 644
103, libvtk6-qt-dev, 643
104, xubuntu-desktop, 643
105, plasma-mediacenter-dbg, 641
106, ros-perception-python-dev, 641
107, plasma-mediacenter, 640
108, kdepim, 639
109, openbox-kde-session, 639
110, ltsp-server-standalone, 635
111, ros-simulators, 632
112, kdeedu, 631
113, sddm-theme-breeze, 631
114, plasma-workspace, 630
115, libvtk7-qt-dev, 627
116, freeipa-server-dns, 625
117, ros-desktop-dev, 625
118, kdeutils, 624
119, freeipa-server-trust-ad, 619
120, libvisp-dev, 615
121, python-sagetex, 613
122, sagemath, 612
123, libvtk6-dev, 611
124, freeipa-server, 610
125, kdepim-doc, 608
126, kmail, 607
127, kdevplatform-dev, 599
